name_key,Player,season,Age,Team,pos_group,G,GS,BPM,OBPM,DBPM,VORP,PER,WS,WS_per_48,USG%,TRB%,AST%,STL%,BLK%,TOV%,Salary,injury_events,rest_events,total_il_events,severity_weighted_events,max_event_severity,distinct_body_parts,had_knee_injury,aging_curve_delta,contract_total_m,contract_y1_m,contract_aav_m,years_remaining,dead_cap_m,war_proxy,salary_m,contract_efficiency,injury_events_3yr,severity_3yr,age_injury_interaction,injury_risk_tier
aaron brooks,Aaron Brooks,2017,32,IND,G,65,0,-3.7,-2.4,-1.2,-0.4,9.5,0.3,0.016,19.2,4.3,20.7,1.4,0.9,17.2,2700000.0,2,0,2,2,1,1,1,-0.7363636363636363,,,,,,-0.14814814814814814,2.7,-0.05486968449931412,2.0,2.0,64,Medium
aaron gordon,Aaron Gordon,2017,21,ORL,F,80,72,-1.0,-0.3,-0.7,0.6,14.5,3.7,0.077,20.1,9.6,10.5,1.4,1.4,8.5,4351320.0,0,0,0,0,0,0,0,1.1526785714285714,92.850172,22.841455,32.97337375,4.0,,0.2222222222222222,4.35132,0.05107007120189326,0.0,0.0,0,Low
aaron harrison,Aaron Harrison,2017,22,CHO,G,5,0,-11.8,-10.1,-1.7,0.0,-2.2,-0.1,-0.146,12.9,9.7,22.6,0.0,0.0,0.0,874636.0,4,0,4,4,1,0,0,0.3496774193548387,,,,,,0.0,0.874636,0.0,4.0,4.0,88,Medium
adreian payne,Adreian Payne,2017,25,MIN,F,18,0,-2.3,-3.8,1.5,0.0,14.4,0.2,0.086,23.1,14.3,8.0,3.0,4.4,11.4,2022240.0,0,0,0,0,0,0,0,-0.3396551724137931,,,,,,0.0,2.02224,0.0,0.0,0.0,0,Low
aj hammons,A.J. Hammons,2017,24,DAL,C,22,0,-6.6,-6.6,0.0,-0.2,8.4,0.0,-0.001,17.6,12.8,3.8,0.3,7.2,16.4,,9,0,9,9,1,0,0,-1.2133333333333334,,,,,,-0.07407407407407407,,,9.0,9.0,216,High
al horford,Al Horford,2017,30,BOS,C,68,68,3.4,2.3,1.1,3.0,17.7,6.3,0.138,19.7,11.8,24.4,1.2,3.2,11.8,26540100.0,3,0,3,4,2,2,0,-0.6,5.685,5.685,5.827125,2.0,,1.1111111111111112,26.5401,0.04186537017988294,3.0,4.0,90,Medium
al jefferson,Al Jefferson,2017,32,IND,C,66,1,-1.4,-0.3,-1.1,0.1,18.9,2.3,0.119,26.1,16.8,11.0,1.0,1.5,6.1,10314532.0,1,0,1,1,1,0,0,-1.5699999999999998,,,,,,0.037037037037037035,10.314532,0.003590762725544604,1.0,1.0,32,Low
alan anderson,Alan Anderson,2017,34,LAC,G,30,0,-6.1,-4.2,-1.9,-0.3,5.0,0.1,0.02,13.7,4.4,4.9,0.5,0.0,7.4,980431.0,0,0,0,0,0,0,0,-0.772,,,,,,-0.1111111111111111,0.980431,-0.11332884324456396,0.0,0.0,0,Low
alan williams,Alan Williams,2017,24,PHO,F,47,0,-1.3,-0.8,-0.6,0.1,19.5,2.1,0.142,20.9,22.4,5.2,1.8,3.7,10.5,874636.0,0,0,0,0,0,0,0,0.35,,,,,,0.037037037037037035,0.874636,0.042345658121821006,0.0,0.0,0,Low
alec burks,Alec Burks,2017,25,UTA,G,42,0,-2.3,-2.2,0.0,0.0,11.6,0.8,0.056,22.7,10.6,7.5,1.4,0.6,11.0,10154495.0,2,0,2,7,6,1,1,0.1966887417218543,,,,,,0.0,10.154495,0.0,2.0,7.0,50,High
